loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), amperageLatest (A), BaroAlt (cm), rssi, gyroADC[0] (deg/s), gyroADC[1] (deg/s), gyroADC[2] (deg/s), accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
852, 45514752,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  60, 126, 1863, 145, 137, 137, 148, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
853, 45515765,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  61, 126, 1862, 149, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
854, 45516779,   0,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, -1.00,  60, 126, 1862, 152, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
855, 45517817,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  60, 126, 1862, 151, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
856, 45518824,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  60, 126, 1862, 148, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
857, 45519832,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  60, 126, 1861, 146, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
858, 45520872,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  59, 126, 1860, 144, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
859, 45521876,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  59, 126, 1860, 145, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
860, 45522881,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  59, 126, 1859, 144, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
861, 45523893,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 1.00,  58, 126, 1859, 144, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
862, 45524908,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  57, 126, 1858, 146, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
863, 45525924,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  57, 126, 1858, 146, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
896, 45526938,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  57, 126, 1858, 147, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
897, 45527942,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 126, 1857, 149, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
898, 45528949,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 126, 1857, 151, 137, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
899, 45529961,  -1,   0,   3,   0,   0,   0,   0,   1,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 127, 1857, 152, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
900, 45530973,  -1,   0,   3,   0,   0,   0,   0,   1,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 127, 1856, 153, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
901, 45531982,  -1,   0,   3,   0,   0,   0,   0,   1,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 126, 1856, 151, 137, 137, 138, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
902, 45532996,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 127, 1856, 150, 137, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
903, 45534008,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 127, 1856, 149, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
904, 45535021,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  57, 127, 1857, 147, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
905, 45536200,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  58, 126, 1857, 147, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
906, 45537397,   0,   0,   4,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  59, 127, 1858, 145, 137, 137, 148, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
907, 45538406,   0,   0,   4,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  61, 127, 1859, 145, 137, 137, 148, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
908, 45539416,   0,   0,   4,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  62, 126, 1859, 144, 137, 137, 149, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
909, 45540430,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  63, 126, 1859, 146, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
910, 45541449,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  63, 126, 1859, 147, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
911, 45542465,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  64, 127, 1859, 147, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
912, 45543481,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  64, 127, 1859, 150, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
913, 45544512,   0,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  64, 127, 1859, 148, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
914, 45545524,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.650, 22, 511, 0.00, 0.00, 0.00,  65, 127, 1859, 149, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
915, 45546530,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 127, 1859, 149, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
916, 45547544,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 127, 1859, 149, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
917, 45548557,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 127, 1859, 148, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
918, 45549571,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 126, 1859, 148, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
919, 45550583,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 126, 1859, 146, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
920, 45551596,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 126, 1860, 145, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
921, 45552611,   0,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 125, 1860, 143, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
922, 45553671,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 125, 1861, 143, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
923, 45554677,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  66, 125, 1861, 144, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
924, 45555686,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  66, 125, 1861, 147, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
925, 45556692,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  66, 125, 1861, 151, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
926, 45557699,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  67, 125, 1862, 151, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
927, 45558714,  -1,   0,   4,   0,   0,   0,   0,   1,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  67, 125, 1862, 154, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
960, 45559725,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  68, 125, 1862, 153, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
961, 45560913,  -1,   0,   5,   0,   0,   0,   0,   1,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  69, 125, 1863, 154, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
962, 45562122,   0,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  69, 125, 1863, 150, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
963, 45563133,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  69, 124, 1863, 148, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
964, 45564143,   0,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  69, 124, 1863, 147, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
965, 45565156,   0,   0,   4,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  69, 124, 1863, 146, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
966, 45566166,   0,   0,   3,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, -1.00, 0.00, 0.00,  68, 123, 1864, 143, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
967, 45567176,   0,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  68, 123, 1863, 144, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
968, 45568186,   0,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  68, 123, 1863, 143, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
969, 45569208,   0,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 1.00,  67, 124, 1863, 144, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
970, 45570225,   0,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 1.00,  66, 124, 1863, 145, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
971, 45571242,   0,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 1.00,  66, 124, 1862, 142, 138, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
972, 45572249,  -1,   0,   2,   0,   0,   0,  -1,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  65, 124, 1862, 148, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
973, 45573253,  -1,   0,   2,   0,   0,   0,  -1,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  64, 125, 1861, 149, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
974, 45574261,  -1,   0,   2,   0,   0,   0,  -1,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  64, 125, 1861, 150, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
975, 45575267,  -1,   0,   3,   0,   0,   0,  -1,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  63, 124, 1862, 152, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
976, 45576274,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  63, 124, 1862, 151, 137, 137, 138, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
977, 45577287,  -1,   0,   3,   0,   0,   0,  -1,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  63, 125, 1862, 153, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
978, 45578306,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  62, 124, 1862, 150, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
979, 45579327,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  63, 124, 1862, 149, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
980, 45580341,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  63, 124, 1862, 149, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
981, 45581348,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, 0.00,  62, 124, 1863, 147, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
982, 45582354,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, -1.00,  62, 124, 1863, 149, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
983, 45583362,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, -1.00,  63, 124, 1864, 148, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
984, 45584371,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, -1.00,  63, 124, 1864, 148, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
985, 45585556,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.750, 22, 511, 0.00, 0.00, -1.00,  63, 124, 1864, 148, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
986, 45586755,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, -1.00,  64, 124, 1863, 148, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
987, 45587777,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, -1.00,  64, 123, 1863, 148, 137, 137, 145, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
988, 45588800,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  63, 123, 1862, 149, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
989, 45589814,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  62, 122, 1861, 150, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
990, 45590823,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  62, 122, 1861, 150, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
991, 45591828,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  61, 122, 1860, 148, 137, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1024, 45592838,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  60, 121, 1859, 145, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1025, 45593847,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  59, 120, 1858, 145, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1026, 45594854,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  59, 120, 1858, 143, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1027, 45595870,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  58, 120, 1857, 146, 138, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1028, 45596893,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  57, 119, 1857, 145, 139, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1029, 45597914,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  57, 119, 1856, 146, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1030, 45598928,  -1,   0,   2,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 1.00,  56, 119, 1855, 148, 137, 137, 138, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1031, 45599934,  -1,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  55, 119, 1855, 149, 137, 137, 138, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1032, 45600941,  -2,   0,   3,   0,   0,   0,  -1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  55, 120, 1855, 153, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1033, 45601955,  -2,   0,   3,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  55, 120, 1855, 152, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1034, 45602962,  -2,   0,   3,   0,   0,   0,  -1,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  55, 120, 1855, 154, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1035, 45603970,  -2,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.453, 1.650, 22, 511, 0.00, 0.00, 0.00,  55, 120, 1855, 154, 137, 137, 138, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1036, 45604990,  -2,   0,   4,   0,   0,   0,   0,   1,   0,  -2,   0,   5, 1000, 1.444, 1.650, 22, 511, 0.00, 0.00, 0.00,  56, 120, 1856, 154, 137, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1037, 45606008,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  56, 120, 1856, 153, 137, 137, 142, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1038, 45607026,  -1,   0,   5,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  56, 120, 1856, 150, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1039, 45608036,  -1,   0,   5,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  57, 121, 1857, 148, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1040, 45609220,  -1,   0,   5,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  57, 121, 1858, 147, 137, 137, 149, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1041, 45610414,  -1,   0,   5,   0,   0,   0,   1,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  58, 121, 1858, 148, 137, 137, 148, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1042, 45611425,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  58, 121, 1858, 148, 137, 137, 148, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1043, 45612436,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  58, 121, 1858, 149, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1044, 45613447,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  58, 122, 1858, 148, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1045, 45614466,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, -1.00,  59, 122, 1859, 148, 137, 137, 149, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1046, 45615487,  -1,   0,   5,   0,   0,   0,   0,  -1,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  59, 122, 1858, 148, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
1047, 45616503,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   5, 1000, 1.444, 1.750, 22, 511, 0.00, 0.00, 0.00,  59, 122, 1858, 147, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
